rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0168231,5804,5804,13.0681,137
0.0165698,5804,5804,13.0681,137
0.0158682,5804,5804,13.0681,137
0.0157833,5804,5804,13.0681,137
0.0160702,5804,5804,13.0681,137
0.0160304,5804,5804,13.0681,137
0.0157763,5804,5804,13.0681,137
0.0161072,5804,5804,13.0681,137
0.0159368,5804,5804,13.0681,137
0.0157525,5804,5804,13.0681,137
0.0161375,5804,5804,13.0681,137
0.0159237,5804,5804,13.0681,137
0.0157344,5804,5804,13.0681,137
0.015892,5804,5804,13.0681,137
0.015759,5804,5804,13.0681,137
0.0163477,5804,5804,13.0681,137
0.015874,5804,5804,13.0681,137
0.0162316,5804,5804,13.0681,137
0.0160049,5804,5804,13.0681,137
0.0159438,5804,5804,13.0681,137
0.0161897,5804,5804,13.0681,137
0.0160029,5804,5804,13.0681,137
0.0161638,5804,5804,13.0681,137
0.0158251,5804,5804,13.0681,137
0.016287,5804,5804,13.0681,137
0.0157865,5804,5804,13.0681,137
0.0158223,5804,5804,13.0681,137
0.01586,5804,5804,13.0681,137
0.0160136,5804,5804,13.0681,137
0.0158489,5804,5804,13.0681,137
0.0160025,5804,5804,13.0681,137
0.0158662,5804,5804,13.0681,137
0.0157668,5804,5804,13.0681,137
0.0158042,5804,5804,13.0681,137
0.0156453,5804,5804,13.0681,137
0.0160403,5804,5804,13.1089,168
0.0170575,5804,5804,14.654,212
0.0171002,5804,5804,14.7774,210
0.0169327,5804,5804,14.7019,209
0.0169052,5804,5804,14.4263,196
0.0171232,5804,5804,13.7912,200
0.0167123,5804,5804,12.7857,192
0.0168478,5804,5804,12.111,179
0.0167989,5804,5804,12.0307,178
0.0167369,5804,5804,12.0307,178
0.0168096,5804,5804,11.9469,178
0.0166905,5804,5804,11.213,166
0.0163954,5804,5804,10.2864,154
0.0165276,5804,5804,9.81495,148
0.0164988,5804,5804,9.76671,148
0.0163896,5804,5804,9.44866,145
0.0164935,5804,5804,8.90972,135
0.0160624,5804,5804,8.30048,129
0.0156572,5804,5804,7.93246,122
0.0154811,5804,5804,7.6051,112
0.0156104,5804,5804,7.54514,111
0.0153887,5804,5804,7.46795,110
0.0157057,5804,5804,7.37181,110
0.0154676,5804,5804,7.27602,110
0.0154195,5804,5804,7.29187,109
0.0154466,5804,5804,7.31358,108
0.0154064,5804,5804,7.41764,104
0.0158034,5804,5804,7.80772,96
0.0157291,5804,5804,8.13921,104
0.0155878,5804,5804,8.41282,115
0.0157475,5804,5804,8.57167,115
0.0156096,5804,5804,8.68263,121
0.0157007,5804,5804,8.80255,125
0.0165953,5804,5804,9.3315,130
0.0162032,5804,5804,10.2946,139
0.0163416,5804,5804,11.2164,142
0.0167607,5804,5804,11.8897,143
0.0166228,5804,5804,12.1664,142
0.0166877,5804,5804,12.4866,148
0.0169036,5804,5804,12.7626,148
0.0172209,5804,5804,13.3456,172
0.0170686,5804,5804,14.0651,202
0.0173478,5804,5804,14.9121,232
0.0173236,5804,5804,15.3339,253
0.0173798,5804,5804,15.4676,255
0.0172443,5804,5804,15.8312,269
0.0172242,5804,5804,16.3053,284
0.0174738,5804,5804,16.94,305
0.0177341,5804,5804,17.2895,319
0.0182325,5804,5804,17.8201,348
0.0175797,5804,5804,18.3618,374
0.017427,5804,5804,19.0892,414
0.0177271,5804,5804,19.6482,447
0.0178232,5804,5804,20.0451,475
0.0178605,5804,5804,20.0145,476
0.0176462,5804,5804,19.9218,471
0.0177981,5804,5804,19.856,464
0.0177103,5804,5804,19.754,454
0.0175641,5804,5804,19.5134,431
0.0174233,5804,5804,19.346,416
0.0176261,5804,5804,19.0141,390
0.0171881,5804,5804,18.5238,352
0.0172057,5804,5804,18.3001,336
0.0171442,5804,5804,18.0086,327
0.0171027,5804,5804,17.6651,318
0.017939,5804,5804,17.5289,304
0.0171048,5804,5804,17.2705,301
0.0171031,5804,5804,16.9225,290
0.0170506,5804,5804,16.5706,277
0.0171113,5804,5804,16.2495,264
0.0169237,5804,5804,16.1802,264
0.016973,5804,5804,15.8553,249
0.016895,5804,5804,15.3418,230
0.0166478,5804,5804,14.8356,207
0.0166339,5804,5804,14.4573,204
0.0168494,5804,5804,14.3732,204
0.0167788,5804,5804,14.469,205
0.0166914,5804,5804,14.2908,204
0.0171951,5804,5804,14.307,202
0.0168412,5804,5804,14.2702,199
0.0167533,5804,5804,14.3832,195
0.0167993,5804,5804,14.3422,194
0.0166844,5804,5804,14.0896,192
0.0167246,5804,5804,13.7615,183
0.016468,5804,5804,13.1651,167
0.0164475,5804,5804,12.7374,156
0.0164668,5804,5804,12.4742,149
0.0164631,5804,5804,12.1089,138
0.0164508,5804,5804,12.1272,135
0.0163888,5804,5804,12.1272,135
0.0164775,5804,5804,12.1272,135
0.016289,5804,5804,12.1492,136
0.0163342,5804,5804,12.1764,139
0.0162369,5804,5804,13.756,192
0.0168744,5804,5804,15.3088,248
0.0177435,5804,5804,16.5517,306
0.0176865,5804,5804,17.1606,324
0.0174964,5804,5804,17.7691,352
0.0174094,5804,5804,18.0065,367
0.0175182,5804,5804,18.2464,376
0.0173572,5804,5804,18.2464,376
0.0174599,5804,5804,18.398,384
0.0177353,5804,5804,18.613,391
0.0174028,5804,5804,18.613,391
0.017528,5804,5804,18.6747,397
0.0174882,5804,5804,18.8697,406
0.0184981,5804,5804,19.4149,428
0.0176508,5804,5804,19.9941,455
0.0177912,5804,5804,19.9941,455
0.0179919,5804,5804,19.9941,455
0.0180867,5804,5804,20.0441,469
0.0182686,5804,5804,20.0441,469
0.0178298,5804,5804,20.1227,469
0.0177185,5804,5804,20.3983,486
0.017636,5804,5804,20.2884,487
0.0176097,5804,5804,20.2943,485
0.01781,5804,5804,20.2681,480
0.0175641,5804,5804,20.0145,472
0.0177062,5804,5804,19.991,474
0.0175362,5804,5804,19.991,474
0.0178129,5804,5804,19.991,474
0.0176093,5804,5804,19.1003,414
0.0175625,5804,5804,18.4549,346
0.0175962,5804,5804,18.2867,338
0.0175178,5804,5804,18.2123,333
0.0174512,5804,5804,18.2919,315
0.0175526,5804,5804,18.399,313
0.017466,5804,5804,18.5496,319
0.0173819,5804,5804,18.6785,349
0.0172185,5804,5804,18.7781,366
0.0175223,5804,5804,18.8025,380
0.0174361,5804,5804,18.8367,395
0.0172764,5804,5804,18.6992,397
0.0173059,5804,5804,18.6916,399
0.0172427,5804,5804,18.4369,388
0.017583,5804,5804,18.3815,381
0.0175161,5804,5804,18.1251,371
0.0176101,5804,5804,17.8263,357
0.0174902,5804,5804,17.5913,347
0.017443,5804,5804,17.0017,315
0.0172094,5804,5804,16.5417,294
0.0170867,5804,5804,15.9394,267
0.016819,5804,5804,15.2371,238
0.0164073,5804,5804,14.0617,197
0.0162205,5804,5804,13.4721,173
0.0162361,5804,5804,13.3339,170
0.0162763,5804,5804,13.184,164
0.0162369,5804,5804,13.184,164
0.0166577,5804,5804,13.0637,163
0.0160296,5804,5804,11.4104,113
0.0157808,5804,5804,11.3766,108
0.0168059,5804,5804,12.4114,141
0.016746,5804,5804,12.8077,158
0.0169931,5804,5804,13.2839,173
0.0167714,5804,5804,13.7302,188
0.0171224,5804,5804,14.4435,215
0.0170128,5804,5804,15.4852,255
0.0173724,5804,5804,17.1633,325
0.0174845,5804,5804,18.3005,380
0.0175633,5804,5804,19.4176,430
0.0174102,5804,5804,19.4972,443
0.0173958,5804,5804,19.4972,443
0.0175834,5804,5804,19.4972,443
0.017613,5804,5804,19.4972,443
0.0177337,5804,5804,19.4972,443
0.0176701,5804,5804,19.4972,443
0.0176795,5804,5804,19.4972,443
0.0174217,5804,5804,19.4972,443
0.017365,5804,5804,19.4972,443
0.0176955,5804,5804,19.4972,443
0.0173581,5804,5804,19.4972,443
0.0173798,5804,5804,19.4972,443
0.0176339,5804,5804,19.4972,443
0.0175543,5804,5804,19.3604,427
0.0177247,5804,5804,18.7591,397
0.0174631,5804,5804,18.0534,359
0.0172057,5804,5804,17.3904,324
0.0171183,5804,5804,17.0438,304
0.0174919,5804,5804,16.7354,291
0.0172374,5804,5804,16.5396,283
0.0174525,5804,5804,16.4642,280
0.0174972,5804,5804,16.1533,264
0.0176639,5804,5804,15.7805,250
0.017489,5804,5804,15.6389,245
0.0174377,5804,5804,15.7126,245
0.0172673,5804,5804,16.0858,262
0.0174714,5804,5804,16.3908,269
0.0174619,5804,5804,16.5899,281
0.0172723,5804,5804,16.6961,282
0.0172119,5804,5804,16.756,284
0.0172702,5804,5804,17.06,292
0.0171072,5804,5804,17.1151,289
0.0173601,5804,5804,17.3115,295
0.0173096,5804,5804,17.3587,292
0.0173396,5804,5804,17.2178,278
0.017464,5804,5804,16.9607,276
0.0176733,5804,5804,16.8601,274
0.0173728,5804,5804,16.6113,263
0.0170567,5804,5804,16.1671,250
0.0174278,5804,5804,15.7877,234
0.0171885,5804,5804,15.5462,225
0.0170448,5804,5804,15.2453,210
0.0170132,5804,5804,14.5107,187
0.0165477,5804,5804,13.8218,167
0.0165538,5804,5804,13.389,168
0.0167566,5804,5804,13.1323,170
0.0166023,5804,5804,12.9387,174
0.0163904,5804,5804,12.8622,173
0.0163855,5804,5804,12.8994,173
0.0165033,5804,5804,13.052,172
0.0168387,5804,5804,13.083,172
0.0171569,5804,5804,13.2603,166
0.0170653,5804,5804,13.6802,175
0.0170547,5804,5804,14.6244,194
0.0170551,5804,5804,15.8935,220
0.017131,5804,5804,16.3236,235
0.0168457,5804,5804,16.3236,235
0.0167673,5804,5804,16.3236,235
0.0168855,5804,5804,16.3236,235
0.0174315,5804,5804,19.4524,417
0.0176093,5804,5804,20.1871,471
0.0174763,5804,5804,19.6685,438
0.0175576,5804,5804,19.6685,438
0.0174147,5804,5804,19.6685,438
0.0177279,5804,5804,19.6685,438
0.0177197,5804,5804,19.6685,438
0.0176504,5804,5804,19.6533,438
0.0176286,5804,5804,19.9235,456
0.0176393,5804,5804,20.0944,466
0.0178848,5804,5804,20.0944,466
0.017785,5804,5804,20.0944,466
0.0177579,5804,5804,20.0944,466
0.0181019,5804,5804,20.0944,466
0.0179948,5804,5804,20.0944,466
0.0178499,5804,5804,20.0944,466
0.0175646,5804,5804,20.0944,466
0.0175929,5804,5804,20.0944,466
0.0176007,5804,5804,20.0944,466
0.0178265,5804,5804,20.0944,466
0.0183474,5804,5804,20.0944,466
0.0183778,5804,5804,20.0944,466
0.0180539,5804,5804,20.0944,466
0.0179525,5804,5804,20.0944,466
0.0175592,5804,5804,18.3315,424
0.0175407,5804,5804,18.3315,424
0.0174077,5804,5804,18.3315,424
0.0174689,5804,5804,18.3215,425
0.0174451,5804,5804,18.3215,425
0.0175104,5804,5804,18.3215,425
0.0181023,5804,5804,18.3215,425
