rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0166409,5804,2918,12.974,126
0.014945,5804,2918,12.974,126
0.0148928,5804,2918,12.974,126
0.014743,5804,2918,12.974,126
0.0149265,5804,2918,12.974,126
0.0149487,5804,2918,12.974,126
0.0154257,5804,2918,12.974,126
0.0153083,5804,2918,12.974,126
0.0149638,5804,2918,12.974,126
0.0148284,5804,2918,12.974,126
0.014979,5804,2918,12.974,126
0.0151363,5804,2918,12.974,126
0.0151917,5804,2918,12.974,126
0.0149088,5804,2918,12.974,126
0.0150082,5804,2880,13.3802,138
0.0149745,5804,2870,13.6686,165
0.0150468,5804,2851,14.1049,184
0.0153033,5804,2810,14.9954,214
0.0155328,5804,2788,15.7532,243
0.0155603,5804,2796,15.8401,248
0.015507,5804,2788,16.4451,268
0.0154906,5804,2786,16.8223,284
0.0156843,5804,2776,17.1459,289
0.0152947,5804,2795,17.1614,294
0.0151379,5804,2796,17.2783,293
0.0151264,5804,2798,17.3431,300
0.015101,5804,2784,17.5427,299
0.0150755,5804,2759,17.8855,303
0.0152253,5804,2747,18.0597,307
0.0153423,5804,2718,18.418,317
0.0152151,5804,2664,19.0728,329
0.0153855,5804,2630,19.2924,327
0.015236,5804,2600,19.4177,324
0.015158,5804,2588,19.4695,321
0.0151375,5804,2588,19.4695,321
0.0150771,5804,2597,19.3077,317
0.0149585,5804,2594,19.5482,324
0.01533,5804,2620,20.4817,377
0.0153678,5804,2684,20.4162,398
0.0154002,5804,2722,20.3924,411
0.0158276,5804,2724,20.4134,418
0.01564,5804,2723,20.3426,414
0.015569,5804,2731,20.1772,412
0.0152648,5804,2711,20.0915,403
0.0152463,5804,2695,20.1699,403
0.0155291,5804,2684,20.2362,400
0.0153933,5804,2585,20.8592,388
0.0151941,5804,2568,18.7788,335
0.0148477,5804,2568,18.7788,335
0.0154959,5804,2560,18.7066,325
0.0147532,5804,2447,19.5697,309
0.0149511,5804,2392,20.0957,295
0.0148969,5804,2328,20.8802,280
0.0150956,5804,2427,20.6024,354
0.0151728,5804,2473,20.7566,398
0.0152368,5804,2517,20.5952,403
0.0147824,5804,2546,20.4988,416
0.0148399,5804,2557,20.4474,416
0.014908,5804,2592,20.2326,424
0.014738,5804,2632,18.2295,388
0.014589,5804,2643,18.2437,374
