rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0108429,5804,5804,13.0681,137
0.0108975,5804,5804,13.0681,137
0.0108733,5804,5804,13.0681,137
0.0108729,5804,5804,13.0681,137
0.0108881,5804,5804,13.0681,137
0.0109337,5804,5804,13.0681,137
0.0109489,5804,5804,13.0681,137
0.0109423,5804,5804,13.0681,137
0.0108598,5804,5804,13.0681,137
0.0109037,5804,5804,13.0681,137
0.0109489,5804,5804,13.0681,137
0.0108754,5804,5804,13.0681,137
0.0109846,5804,5804,13.0681,137
0.0108848,5804,5804,13.0681,137
0.0108815,5804,5804,13.0681,137
0.0109131,5804,5804,13.0681,137
0.0109509,5804,5804,13.0681,137
0.0109591,5804,5804,13.0681,137
0.0108741,5804,5804,13.0681,137
0.010861,5804,5804,13.0681,137
0.0108791,5804,5804,13.0681,137
0.0108626,5804,5804,13.0681,137
0.010863,5804,5804,13.0681,137
0.0108581,5804,5804,13.0681,137
0.0109538,5804,5804,13.0681,137
0.0108885,5804,5804,13.0681,137
0.0108733,5804,5804,13.0681,137
0.0108524,5804,5804,13.0681,137
0.0108602,5804,5804,13.0031,138
0.0108516,5804,5804,13.0031,138
0.0108302,5804,5804,13.0031,138
0.0106935,5804,5804,12.9462,135
0.0103581,5804,5804,12.7698,138
0.0102481,5804,5804,12.796,151
0.0101881,5804,5804,12.9493,161
0.010081,5804,5804,12.9535,165
0.010035,5804,5804,13.0455,167
0.010026,5804,5804,13.0848,170
0.00998493,5804,5804,13.1937,172
0.00993032,5804,5804,13.3632,180
0.00989912,5804,5804,13.2519,173
0.00981784,5804,5804,13.2212,171
0.00978459,5804,5804,13.2212,171
0.00981907,5804,5804,13.2212,171
0.00974189,5804,5804,13.2212,171
0.00981168,5804,5804,13.2212,171
0.00979649,5804,5804,13.2212,171
0.00953047,5804,5804,12.9028,160
0.00882189,5804,5804,11.7788,144
0.00854684,5804,5804,11.3556,144
0.0081281,5804,5804,10.8797,147
0.00819173,5804,5804,10.9728,150
0.00816422,5804,5804,10.9728,150
0.00817161,5804,5804,10.9728,150
0.00808253,5804,5804,10.7622,144
0.00797415,5804,5804,10.3928,138
0.00783539,5804,5804,9.97278,134
0.00758989,5804,5804,9.59786,126
0.00752462,5804,5804,9.38181,119
0.00741336,5804,5804,9.20572,110
0.00741336,5804,5804,9.06582,107
0.00757142,5804,5804,8.9838,101
0.00734275,5804,5804,8.89077,90
0.00732181,5804,5804,8.84287,81
0.00734398,5804,5804,8.83322,83
0.00744785,5804,5804,8.85803,85
0.007532,5804,5804,8.85045,93
0.00749424,5804,5804,8.88077,99
0.00766379,5804,5804,8.97726,99
0.00772208,5804,5804,9.03308,104
0.00797825,5804,5804,9.32943,123
0.00823976,5804,5804,9.67884,129
0.00852508,5804,5804,9.99345,134
0.00885802,5804,5804,10.542,143
0.00904563,5804,5804,10.9063,148
0.00937939,5804,5804,11.4235,156
0.0099061,5804,5804,12.1995,167
0.0100761,5804,5804,12.623,170
0.0100724,5804,5804,12.623,170
0.0102932,5804,5804,12.8873,173
0.0109263,5804,5804,13.8387,183
0.0113081,5804,5804,14.4642,200
0.0112978,5804,5804,14.4642,200
0.0113191,5804,5804,14.4642,200
0.0117773,5804,5804,14.9063,219
0.0133771,5804,5804,16.9524,296
0.0142774,5804,5804,18.1651,371
0.0151941,5804,5804,18.99,415
0.0154011,5804,5804,19.2198,417
0.0154117,5804,5804,19.2198,417
0.0154031,5804,5804,19.2198,417
0.0153756,5804,5804,19.2198,417
0.0153637,5804,5804,19.2198,417
0.0155534,5804,5804,19.4108,440
0.0160013,5804,5804,19.1902,410
0.0155575,5804,5804,17.9645,338
0.0151227,5804,5804,17.5827,331
0.0150886,5804,5804,17.5827,331
0.0152299,5804,5804,17.5451,328
0.0151207,5804,5804,17.5451,328
0.0150225,5804,5804,17.7333,326
0.0150977,5804,5804,18.2974,333
0.0149437,5804,5804,18.9407,385
0.0148247,5804,5804,19.1123,400
0.0144059,5804,5804,18.8687,395
0.0135627,5804,5804,17.9187,353
0.012396,5804,5804,16.5469,300
0.01168,5804,5804,15.551,256
0.0111007,5804,5804,14.6785,225
0.0102571,5804,5804,12.9507,163
0.00964049,5804,5804,11.5389,111
0.00959041,5804,5804,10.8198,94
0.00917166,5804,5804,10.3859,83
0.00918275,5804,5804,10.2771,81
0.00914293,5804,5804,10.2564,81
0.00931946,5804,5804,10.3942,84
0.00950214,5804,5804,10.6785,90
0.00982605,5804,5804,10.9879,94
0.0102436,5804,5804,11.6506,118
0.0106685,5804,5804,12.3939,146
0.0112161,5804,5804,13.2753,174
0.0117239,5804,5804,13.8611,192
0.0119033,5804,5804,14.1799,204
0.0123114,5804,5804,14.928,233
0.0128102,5804,5804,15.7261,262
0.0133435,5804,5804,16.1609,282
0.0135672,5804,5804,16.8587,311
0.0140582,5804,5804,17.7484,350
0.014158,5804,5804,18.0028,358
0.0144811,5804,5804,18.3232,375
0.0146855,5804,5804,19.0403,412
0.0151383,5804,5804,19.4276,430
0.0154364,5804,5804,19.6389,443
0.0154199,5804,5804,19.7895,451
0.0155164,5804,5804,20.0245,466
0.0157406,5804,5804,20.2212,472
0.0156416,5804,5804,20.4197,486
0.0159072,5804,5804,20.491,490
0.0159996,5804,5804,20.4759,492
0.0167308,5804,5804,20.4773,490
0.0158617,5804,5804,20.4773,490
0.0157824,5804,5804,20.4773,490
0.0158251,5804,5804,20.327,477
0.0154351,5804,5804,19.9073,452
0.0147968,5804,5804,19.2326,415
0.0145451,5804,5804,19.0686,403
0.0143456,5804,5804,18.9063,393
0.0141346,5804,5804,18.6509,381
0.0138,5804,5804,18.295,360
0.0135656,5804,5804,18.0176,350
0.0133307,5804,5804,17.6465,332
0.0132712,5804,5804,17.552,328
0.0131091,5804,5804,17.2815,315
0.012926,5804,5804,16.9456,301
0.0127342,5804,5804,16.7867,294
0.0124181,5804,5804,16.3184,274
0.0119854,5804,5804,15.6737,247
0.0109973,5804,5804,14.3201,192
0.0100547,5804,5804,13.0041,177
0.00928866,5804,5804,11.9797,172
