rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0073838,5804,2918,12.974,126
0.00745359,5804,2918,12.974,126
0.0074228,5804,2918,12.974,126
0.0074421,5804,2918,12.974,126
0.00741665,5804,2918,12.974,126
0.00740269,5804,2918,12.974,126
0.00746509,5804,2918,12.974,126
0.00741172,5804,2918,12.974,126
0.00748726,5804,2918,12.974,126
0.00743307,5804,2918,12.974,126
0.00741131,5804,2918,12.974,126
0.00744005,5804,2918,12.974,126
0.00747166,5804,2918,12.974,126
0.00743225,5804,2918,12.974,126
0.00752297,5804,2910,12.9632,126
0.00751723,5804,2910,12.9632,126
0.00755458,5804,2910,12.9632,126
0.0076917,5804,2910,12.9632,126
0.00742486,5804,2918,12.9736,126
0.0074733,5804,2902,13.01,132
0.00735178,5804,2906,13.0568,140
0.00724545,5804,2895,13.0591,141
0.00736574,5804,2897,13.1581,153
0.00729964,5804,2900,13.2217,159
0.00728199,5804,2902,13.0951,158
0.00724586,5804,2902,13.0951,158
0.0071498,5804,2885,13.2246,166
0.0071576,5804,2883,13.3444,170
0.00708986,5804,2888,13.3511,173
0.00707755,5804,2881,13.5908,182
0.007064,5804,2886,13.5301,185
0.00698641,5804,2876,13.6728,188
0.00695808,5804,2876,13.6728,188
0.00686079,5804,2869,13.6609,184
0.00646668,5804,2852,13.021,155
0.0062413,5804,2864,12.4647,138
0.00611239,5804,2859,12.1179,125
0.00610582,5804,2859,12.1179,125
0.00610213,5804,2859,12.1179,125
0.00604137,5804,2862,12.0297,124
0.00602043,5804,2880,11.6878,112
0.00586032,5804,2911,10.8038,89
0.00582994,5804,2923,10.5364,82
0.00562755,5804,2936,9.9111,72
0.00563658,5804,2943,9.70676,73
0.00553806,5804,2942,9.49728,75
0.00552451,5804,2934,9.35003,76
0.00552944,5804,2935,9.27666,75
0.0054617,5804,2934,9.18269,77
0.00550809,5804,2940,9.00986,77
0.00545431,5804,2956,8.9249,75
0.00540792,5804,2967,8.83586,78
