rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0131152,12,4,2251.75,2498
0.00239175,12,4,2251.75,2498
0.00275179,12,4,2251.75,2498
0.00218608,12,4,2251.75,2498
0.00235029,12,4,2251.75,2498
0.00241146,12,4,2251.75,2498
0.00234536,12,4,2251.75,2498
0.00226038,12,4,2251.75,2498
0.00227147,12,4,2251.75,2498
0.00237697,12,4,2251.75,2498
0.0021089,12,4,2251.75,2498
0.00220578,12,4,2251.75,2498
0.00216678,12,4,2251.75,2498
0.00217992,12,4,2251.75,2498
0.00206743,12,4,2251.75,2498
0.00200339,12,4,2251.75,2498
0.00202227,12,4,2251.75,2498
0.00227886,12,4,2251.75,2498
0.00204691,12,4,2251.75,2498
0.00224232,12,4,2251.75,2498
0.00193729,12,4,2251.75,2498
0.00224355,12,4,2251.75,2498
0.00310197,12,4,2251.75,2498
0.00215364,12,4,2235.5,2459
0.00190733,12,4,2232.5,2455
0.00189583,12,4,2233.5,2470
0.00190322,12,4,2233.5,2470
0.00224314,12,4,2234.5,2462
0.002035,12,4,2205.75,2665
0.00242788,12,4,2186.5,2748
0.00219182,12,4,2134,2908
0.00205471,12,4,2101.5,2987
0.00258593,12,4,2076.75,3019
0.00208098,12,4,2059.25,3044
0.00216021,12,4,2050.5,3055
0.00207154,12,4,2027,3088
0.00276164,12,6,1340.83,3085
0.00268118,12,6,1320,3088
0.00192621,12,6,1334.33,3114
0.00229363,12,6,1328,3104
0.00201119,12,6,1304.83,3118
0.00212696,12,6,1298.83,3134
0.00196028,12,6,1246,3157
0.00200667,12,6,1222.83,3160
0.0020543,12,6,1180.5,3162
0.00198902,12,6,1144.83,3148
0.00205019,12,4,1682,3146
0.00228583,12,4,1668.25,3152
0.0020662,12,4,1651.5,3153
0.0018441,12,4,1651.5,3153
0.00183261,12,4,1651.5,3153
0.00199805,12,4,1631.75,3157
0.00234126,12,4,1585.75,3150
0.00213065,12,2,3116,3129
0.00217663,12,4,1575.25,3125
0.00210151,12,4,1575.25,3125
0.00187818,12,4,1586.25,3122
0.00184451,12,4,1611.25,3104
0.00200832,12,4,1655.5,3059
0.00195084,12,4,1676,3035
0.00224683,12,4,1704.5,2981
0.00205881,12,4,1711.5,2949
0.00208385,12,6,1155.33,2931
0.00200749,12,6,1198.83,2875
0.00219962,12,6,1205.67,2872
0.00212942,12,6,1220,2846
0.00281993,12,6,1249.5,2796
0.00211505,12,6,1261.17,2786
0.00206702,12,6,1314.17,2682
0.00217745,12,6,1334.5,2641
0.00210807,12,6,1365.17,2579
0.00228871,12,6,1391.17,2497
0.00200544,12,6,1392.83,2478
0.00217006,12,6,1365.83,2455
0.00204526,12,6,1344.83,2440
0.00261508,12,4,2030.5,2284
0.00243814,12,4,2050.5,2248
0.00230841,12,6,1414.83,2394
0.00227803,12,6,1446.17,2489
0.0026081,12,6,1453.83,2677
0.00244553,12,6,1471.67,2770
0.00237205,12,6,1480,2802
0.00269554,12,6,1481.83,2897
0.00401458,12,6,1458.67,2845
0.00354904,12,4,2155.75,2835
0.00246154,12,4,2184.5,2786
0.0021598,12,4,2185.75,2760
0.00217294,12,4,2185.75,2760
0.00201817,12,6,1458.67,2747
0.00217171,12,6,1489.67,2675
0.0020272,12,6,1539.33,2548
0.00233428,12,6,1619.83,2504
0.00210356,12,6,1636.17,2782
0.00218525,12,6,1635.83,2909
0.00207728,12,6,1607.33,3110
0.0021442,12,6,1559.83,3264
0.00231991,12,6,1501,3366
0.00238477,12,4,2127.25,3472
0.00233058,12,6,1348,3546
0.0025223,12,6,1374.33,3518
0.00198492,12,6,1400.5,3493
0.00195987,12,6,1414.33,3448
0.00214625,12,4,2211.5,3198
0.00201406,12,4,2244.25,3030
0.00197958,12,6,1516,2696
0.00188885,12,6,1524.17,2444
0.00213435,12,6,1524,2558
0.00196726,12,6,1503.83,2741
0.00202638,12,6,1467.5,2883
0.00196726,12,6,1420.17,3000
0.00196275,12,6,1399.67,3052
0.00211218,12,6,1339,3115
0.00194674,12,6,1294.17,3143
0.00209206,12,6,1190,3202
0.00248987,12,4,1624.75,3209
0.00201899,12,2,3176.5,3194
0.0019611,12,2,3156,3163
0.00189214,12,2,3138,3145
0.00205553,12,4,1586.5,3119
0.00206333,12,4,1607.5,3096
0.00194509,12,4,1627.75,3082
0.00212244,12,4,1684.75,3010
0.00209781,12,4,1730.75,2933
0.0023897,12,4,1768.75,2849
0.00215077,12,6,1194.83,2778
0.00212942,12,6,1359.5,2424
0.00220496,12,6,1411.5,2210
0.00251614,12,6,1457.83,1780
0.00239216,12,6,1463.83,1719
0.00208139,12,6,1460.17,1863
0.00222343,12,6,1451.5,2036
