rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.00336594,12,12,1501.25,2498
0.0025884,12,12,1501.25,2498
0.00270211,12,12,1501.25,2498
0.00298127,12,12,1501.25,2498
0.00255186,12,12,1501.25,2498
0.0026627,12,12,1501.25,2498
0.00235809,12,12,1501.25,2498
0.00256048,12,12,1501.25,2498
0.00265039,12,12,1501.25,2498
0.00245908,12,12,1501.25,2498
0.00346775,12,12,1501.25,2498
0.00214995,12,12,1501.25,2498
0.0022846,12,12,1501.25,2498
0.00229076,12,12,1501.25,2498
0.00244923,12,12,1501.25,2498
0.00239298,12,12,1501.25,2498
0.002191,12,12,1501.25,2498
0.00246359,12,12,1501.25,2498
0.00253338,12,12,1501.25,2498
0.00215816,12,12,1501.25,2498
0.0022571,12,12,1501.25,2498
0.00214256,12,12,1501.25,2498
0.00253913,12,12,1501.25,2498
0.00232771,12,12,1501.25,2498
0.00228419,12,12,1501.25,2498
0.00243034,12,12,1501.25,2498
0.0025925,12,12,1501.25,2498
0.0022378,12,12,1501.25,2498
0.0027756,12,12,1501.25,2498
0.00256623,12,12,1501.25,2498
0.00274317,12,12,1501.25,2498
0.00232853,12,12,1501.25,2498
0.00297512,12,12,1495.83,2502
0.0022144,12,12,1490.67,2461
0.00220824,12,12,1489.17,2461
0.00216924,12,12,1512.75,2451
0.00228296,12,12,1546.33,2440
0.00240653,12,12,1560.33,2407
0.00209822,12,12,1574,2400
0.00214502,12,12,1580.5,2397
0.00212121,12,12,1586.83,2395
0.00265367,12,12,1605.5,2342
0.0023351,12,12,1618,2329
0.0026118,12,12,1643.83,2315
0.0027756,12,12,1653.5,2406
0.00232648,12,12,1656.83,2475
0.00215652,12,12,1649.33,2522
0.00223205,12,12,1634.5,2549
0.00268446,12,12,1616.5,2589
0.00239996,12,12,1584.83,2590
0.00243363,12,12,1566.17,2598
0.00239996,12,12,1531.17,2613
0.00225751,12,12,1500.83,2606
0.0023741,12,12,1469.58,2608
0.00231991,12,12,1419.67,2638
0.00226079,12,12,1367.17,2658
0.00267871,12,12,1341.67,2676
0.00226613,12,12,1341.67,2676
0.00216144,12,12,1338.67,2668
0.00234085,12,12,1326.83,2678
0.00244184,12,12,1321.67,2684
0.0022571,12,12,1305.5,2685
0.00219839,12,12,1323,2681
0.00253421,12,12,1341,2664
0.00230226,12,12,1352,2647
0.00217212,12,12,1363.67,2617
0.00248535,12,12,1368.33,2599
0.00229897,12,12,1376.58,2548
0.00232607,12,12,1381.25,2495
0.00232976,12,12,1368.17,2466
0.00221522,12,12,1349.83,2469
0.00218649,12,12,1343.17,2467
0.00292175,12,12,1320.33,2507
0.00231088,12,12,1243.5,2566
0.00227188,12,12,1216.17,2625
0.0023741,12,12,1320.67,2636
0.00222138,12,12,1392.33,2536
0.00228666,12,12,1421.5,2386
0.0024365,12,12,1388.08,2139
0.00286632,12,12,1332.67,2503
0.00229158,12,12,1324.17,2729
0.00231457,12,12,1342.92,2917
0.00244184,12,12,1374.92,3017
0.0024796,12,12,1398.67,3083
0.00224724,12,12,1446.83,3057
0.00225956,12,12,1492.33,2812
0.00246031,12,12,1507,2614
0.00259702,12,12,1506.33,2883
0.00245949,12,12,1491.17,3074
0.00244101,12,12,1440.75,3408
0.00229158,12,12,1391.5,3590
0.00213271,12,12,1367.17,3555
0.00223041,12,12,1487.67,3332
0.00219839,12,12,1659.75,2755
0.00217171,12,12,1702,2130
0.00261385,12,12,1562.33,2704
0.00227434,12,12,1268.33,2952
0.00230431,12,12,1251,2774
0.00224191,12,12,1256.5,2451
0.00235439,12,12,1383.67,2046
0.00292051,12,12,1423.92,1806
0.00243116,12,12,1446.33,1629
0.00241187,12,12,1452,1688
0.00230308,12,12,1358.83,2529
0.00241228,12,12,1054.83,3177
0.00241146,12,12,1443.5,2886
0.0023782,12,12,1666.33,2192
0.00247222,12,12,1719.25,1983
0.00240407,12,12,1691.67,2360
0.00233387,12,12,1563.83,2958
0.00249603,12,12,1448.67,3344
0.00223247,12,12,1325.17,3600
0.00262822,12,12,1554,2959
0.00287536,12,12,1409.17,2984
0.00346241,12,12,1282.67,2814
0.00250218,12,12,1464.83,1792
0.00224478,12,12,1387,1954
0.0026549,12,12,1255.17,1946
