rasterTimeSecs,NumTriangles,NumTrianglesRastered,AvgPixelsPerTri,MaxPixelsPerTri
0.0299166,12,4,2251.75,2498
0.029924,12,4,2251.75,2498
0.0299133,12,4,2251.75,2498
0.029915,12,4,2251.75,2498
0.0299236,12,4,2251.75,2498
0.0299351,12,4,2251.75,2498
0.0300254,12,4,2251.75,2498
0.0299228,12,4,2251.75,2498
0.0299178,12,4,2251.75,2498
0.0299638,12,4,2251.75,2498
0.029972,12,4,2251.75,2498
0.029575,12,4,2250,2500
0.0322168,12,6,1557.17,2715
0.0334094,12,6,1566.5,2811
0.0338105,12,6,1557,2841
0.0334447,12,6,1529.67,2852
0.0330933,12,6,1433.67,2933
0.0321179,12,6,1329.5,2978
0.0313682,12,4,1902.25,2980
0.0304712,12,6,1253.33,2928
0.0304043,12,6,1226.5,2724
0.0265149,12,6,1330,2347
0.0252854,12,6,1455.17,1710
0.0279608,12,6,1391.17,2341
0.0301046,12,6,1256.5,2800
0.0299663,12,6,1175.5,2979
0.0296473,12,4,1626.5,3117
0.032273,12,6,1227.67,3208
0.0355688,12,6,1485.83,2995
0.0362728,12,6,1629.67,2616
0.0359879,12,6,1717.17,2018
0.0335724,12,6,1551.83,2080
0.0322644,12,6,1456.67,2450
0.0318711,12,6,1373.33,2661
0.0319549,12,6,1242.83,2867
0.0302565,12,4,1636,2992
0.0293866,12,2,2940.5,2963
0.0291785,12,4,1474.75,2885
0.0286747,12,4,1537,2836
0.0283948,12,4,1601.75,2744
0.027859,12,4,1648,2646
0.026843,12,4,1678.5,2545
0.0230365,12,4,1597.5,2196
0.0186578,12,4,1468.25,1794
0.0202786,12,4,1164,2047
0.018728,12,4,999.75,1956
0.0179373,12,4,943.5,1841
0.0167677,12,4,882.25,1741
0.0158691,12,4,834.75,1645
0.014956,12,4,782.75,1559
0.0148296,12,6,569.833,1438
0.014736,12,6,642.167,1371
0.0136867,12,6,665.833,1207
0.0127728,12,6,658.167,1084
0.01224,12,6,627.833,1031
0.0115252,12,6,599.167,982
0.0109074,12,6,573.167,939
0.0106524,12,6,548.833,897
0.0106245,12,6,561.833,854
0.00994962,12,6,558.167,729
0.00957809,12,6,538.167,683
0.00920286,12,6,517.5,649
0.00922052,12,6,520.667,658
0.00898323,12,6,500.667,630
0.00869134,12,6,477.667,605
0.00868436,12,6,472.667,605
0.00838837,12,6,448.833,580
0.00807473,12,6,421.667,557
0.00797168,12,6,407.167,613
0.00754884,12,6,386.667,606
0.00722903,12,6,368.333,583
0.00719291,12,6,365.833,593
0.00704388,12,6,342.833,576
0.00695808,12,4,506.5,589
0.00667359,12,4,487.5,570
0.00728569,12,6,343.5,585
0.00703116,12,6,344,557
0.00714405,12,6,347.333,542
0.00706728,12,6,359.667,510
0.00733331,12,6,370.5,512
0.00720276,12,6,368.833,491
0.00719414,12,6,368.833,491
0.00719701,12,6,368.833,488
0.00725613,12,6,369,480
0.00704224,12,6,367.333,478
0.00701268,12,6,366.5,493
0.00682671,12,6,363.167,521
0.00678197,12,6,359.167,547
0.00695439,12,6,348.5,597
0.00702048,12,6,343.667,614
0.00693961,12,6,341.167,621
0.00708863,12,6,339.667,625
0.00708329,12,6,339.667,625
0.00703034,12,6,336.167,634
0.00725777,12,6,334.167,643
0.0071498,12,6,331.167,652
0.00723273,12,6,330.667,662
0.00716704,12,6,308.833,644
0.00653359,12,4,456.75,635
0.00667276,12,6,327,622
0.00666743,12,6,347,605
0.00659805,12,6,355.5,576
0.00661857,12,6,358.333,566
0.00667974,12,6,362.833,560
0.00663048,12,6,367.333,554
0.00677663,12,6,370.5,544
0.00673393,12,6,372,539
